ID	Exposure	Fecundity
645	3	247.0620125
56	0	276.0172604
154	5	204.8395639
67	0	237.9543867
88	5	182.2039232
149	2.5	299.7694927
52	3.5	303.6319673
541	0.5	269.1473967
9	4	289.9886053
424	2.5	270.5483609
663	1	91.75403202
537	4	237.8675797
291	2	198.071497
327	3.5	317.497668
275	5	134.0567109
280	2	203.0411894
20	4	198.3915224
317	4	140.4693816
439	4.5	191.144843
435	2.5	251.164021
434	2	292.6441527
699	2.5	185.1372728
657	3.5	233.2740935
494	4.5	302.5617954
589	2.5	299.4083228
216	3	274.5776874
159	2	197.3401531
358	2.5	297.1319598
202	1.5	221.7940539
615	4.5	220.1163764
728	0.5	203.1552301
516	4.5	222.1045767
122	0	272.685234
108	4	135.6334076
242	5	194.1556613
58	1	246.3176574
217	3.5	264.9385889
664	1.5	204.8214703
644	2.5	270.2407255
188	0	261.1047311
465	1	304.4922336
448	3.5	249.3834975
129	3.5	281.9250689
754	2.5	282.5034118
701	3.5	285.9181609
649	5	189.8829332
39	2.5	215.4189688
305	3.5	325.5498408
318	4.5	275.1895352
454	1	261.4338709
206	3.5	257.0766693
744	3	263.338846
461	4.5	215.5786862
179	1	262.2452691
111	0	333.6297429
140	3.5	225.9526081
438	4	313.8051662
497	0.5	328.7744073
599	2	349.6513715
340	4.5	201.2252753
621	2	225.9882051
160	2.5	281.58681
623	3	298.5206203
83	2.5	339.5822036
261	3.5	204.1436211
373	4.5	229.1448903
121	5	280.4577295
573	0	263.0240017
14	1	174.5262564
110	5	204.5791215
82	2	232.5842997
403	3	244.4809407
137	2	215.8418915
172	3	240.7858976
393	3.5	297.3551193
162	3.5	243.7494555
86	4	224.6571055
328	4	170.492226
161	3	281.318869
295	4	328.7793881
502	3	303.4639659
711	3	277.1820608
70	1.5	225.137134
167	0.5	341.2561131
43	4.5	176.8281873
547	3.5	311.9925004
55	5	303.7382836
361	4	222.9597516
436	3	267.5561514
632	2	147.3506058
37	1.5	213.947262
459	3.5	193.1829334
18	3	248.9099126
222	0.5	123.6079726
142	4.5	76.84890274
593	4.5	260.2430534
143	5	240.7049688
675	1.5	194.6807547
157	1	249.8240741
717	0.5	442.1681769
44	5	235.6269276
374	5	264.3963049
617	0	288.9786475
504	4	241.3269721
585	0.5	239.3869617
724	4	305.1745356
240	4	251.3213505
279	1.5	221.133744
148	2	207.4353371
742	2	234.3066007
755	3	357.5638305
398	0.5	238.6942711
441	0	321.795235
429	5	255.9632192
630	1	253.3040234
180	1.5	219.2878783
453	0.5	46.40743583
560	4.5	150.2756733
169	1.5	317.1696428
344	1	256.685595
264	5	243.4226636
116	2.5	259.808026
233	0.5	249.9836276
369	2.5	272.1810978
302	2	270.9206826
534	2.5	273.4771866
557	3	241.98021
251	4	211.5196884
444	1.5	206.7229616
239	3.5	321.8608638
93	2	281.1854397
694	0	301.9467931
8	3.5	220.4508312
409	0.5	261.3741668
571	4.5	167.724906
511	2	193.9987599
712	3.5	296.0753899
173	3.5	173.6435079
523	2.5	325.5321055
706	0.5	414.2083148
95	3	256.5672312
509	1	194.655574
622	2.5	308.6931512
276	0	277.4677605
138	2.5	271.1630666
297	5	261.722552
416	4	224.6740875
325	2.5	257.0265568
739	0.5	252.3270964
324	2	193.3729462
